ALABAMA	Birmingham	Very affordable, no traffic, easy parking, lots of green space, great food with some nationally-acclaimed restaurants (and can afford to go on resident's salary). Hiking within 15min of the hospital and tons more options within an hour's drive. Small town friendliness with mid-sized city amenities. < Many larger cities within easy driving distance (Atlanta, New Orleans, Nashville) and beaches in S Alabama/FL panhandle	Church and college football can play an oversized role in city life. Still can feel very segregated. Local and state politics filled with corruption. High monthly water bills due to aforementioned corruption. The worest roads of any city, seriously had a tire bust from going 40 and hitting a pot hole.	They're trying to improve it, but not great. Definitely need a car+2	Hot and humid summers. Mild winters. Snow is rare. Tornadoes are a thing.	Most people are married by 25 and arent interested in dating anyone more distant than a fourth cousin. Pretty religious down here. << this is absurd. people in birmingham aren't incestuous. It feels like there's someone here with a thing against bham	Not great; improving though+1	meh<< Very diverse in the city, less so in rural areas <<sure its better than other parts of alabama...but no way in hell would i call it "very diverse" << do you actually live in Birmingham proper??	its weird because there are less people in birmingham I feel unsafe around compared to other cities...but for the people feel unsafe around..I feel 100x less safe around them compared to your typical urban bozo. These people are legit crazy. Will follow you relentlessly or point a gun/knife at you. Fucking terrifying. Not just birmingham but Alabama as a whole << I have lived here 20 years, never had a single person follow me with a gun/knife, however Birmingham is consistently listed as one of the most murderous cities in the country
CALIFORNIA	Oakland		most dangerous city on the West Coast. period.						
CALIFORNIA	Orange	Disneyland, beach, super diverse food options, mountains not too far away, good hiking trails in South County. Strong esports scene in OC	Disneyland, $$$, traffic--> Is cheaper than good parts of LA and traffic is much better having lived in both. The food in Orange where the medical center is just ok but there is a ton of amazing asian food in the surrounding areas	bus exists, but you need a car	Coastal dry air, comfortable mostly 60s-70s except for summer. Santa Ana winds will chap your lips and the fires will probably double your anthracosis.<<Weather is perfect here lol	Pretty good. I've had several good dates/relationships even as an average looking asian guy	sure	Diverse. South County not so much but north county and central OC you see lots of different races interacting and doing things together. White, asian, hispanic, etc.	
CALIFORNIA	Palo Alto	Lots of nature preserves and great hiking just 10-20 min drive from the hospital. Plenty of different national parks within a 3-4-hour drive, including Yosemite, Pinnacles, Sequoia etc. SF is about a 45 min drive. Awesome food about 10-20 min drive to downtown San Mateo or Mountain View. If you're into venture capital/tech there is obviously a lot of that here.	$$$$, probably the most expensive area in the country not just in terms of rent but general COL. Gas prices generally hover around $4/gallon. Car is a must especially with rotations at SCVMC and the VA. Could bike to the VA, but it may take 30+ min depending on where you live	Bus and Caltrain exist, but you need a car	It's the bay area: fog/cloudy in the morning, sunshine by the afternoon with occasional rain during the winter--> Weather is amazing. Having lived in both West LA/ Santa Monica I prefer Socal to the bay but that is like comparing a ferrari and a lamborghini	Might have a hard time if you're a guy looking for a girl given all the tech guys here \\dating as a girl here is like drowning in an ocean. Many many options, you'll get non-stop nofications on Hinge, but they're all shit. Cringe tech bros who pretend to be progressive but also think women (sorry, "females", as they're called here) are inferior	couldn't be better	Decent, but not comparable to other large metropolitan areas and surrounding suburbs like NYC or LA.	
CALIFORNIA	Riverside/San Bernardino (Inland Empire)	Relatively low cost of living compared to coastal California. Still within an hour drive to LA/OC, 2 hours to San Diego. Mountains are super close by.	Traffic really sucks, rent still much higher than the rest of the country (It's still California after all). Hot as hell in the summertime. Air quality is horrific in the Inland Empire given all the pollution blows here from LA. Not as much nightlife/ food options/ things to do compared to LA/OC. The IE is basically one giant suburb. The city of San Bernardino is worse than Detroit, and this is coming from someone who used to live in the actual city of Detroit.	Almost non-existant. For a metro area of 4.5 million people public transit in the Inland Empire is pathetic	Very very hot in the summer. There are a couple weeks where it is triple digits. Dry heat though. Very pleasant in spring, fall, winter	It sucks. People here are trashier compared to LA/OC. You could date in LA/OC but be prepared to spend an hour minimum oneway in traffic	Not much. Palm Springs has a vibrant and very active LGBT scene but it is further out in the Coachella Valley	About 50% hispanic, 30% white, 20% everyone else. Politically moderate/ leans liberal, but the IE also has strong convervative cities as well (Temecula area/yucaipa/Norco)	
CALIFORNIA	Sacramento	Great foot-pressed wine country, Tahoe, Bay area, etc. Food is great, up and coming downtown/midtown scene, near the state capitol if you're into policy. COL is less than bay area but still pricey, diverse clinical training sites. "Big city with small town feel" lol. Lots of microbreweries, but better wine IMO.	Dry heat, there's like 2 perfect weeks of weather in the spring and fall. Winters are mild, smoke from wildfires has increasingly become an issue. COL high, theres a union but there hasn't been that much progress on things like housing stipends. Crime-ridden and sketchy vibes..	you need a car	pretty great if you have an AC	Most residents are settled down, its a little difficult to date just because its not a big city and is definitely "the midwest of California" (people get married younger compared to thier counterparts in other larger cities in California) >> UCD MS4 here, +1 to the dating scene being challenging (many with a terminal degree of high school). Many residents are in relationships or are married, or chose this program to be near family.	Plenty of queer bars in downtown sac, LGBTQ friendly but could always be better	Third most diverse city in the country!	
CALIFORNIA	San Diego	tacos, weather, beaches, easy access to fun places in Mexico  Food scene is pretty great  Diverse population (outside of North County/La Jolla) < racially, yes. economically, not so much compared to other major cities <-- LMFAO they threw in Republicans	Republicans???? really? < yes especially in la jolla/ del mar/ general north county area lol but there are plenty of liberals. SD is much more white/ rich people than I think people realize (again more in north county though). I think people can also be sort of apathetic regarding politics, social justice issues, etc compared to the rest of CA because SD isnt very diverse economically so there isnt a ton of reason to be if that makes sense  Rent can be expensive, but not as bad as SF/NY/LA; imo food scene is kinda meh outside of Mexican and Italian (restaurants don't make things spicy at all and everything is pretty bland) < Strongly disagree, SD has a lot of great asain restaurants in the Convoy and Mira Mesa areas, lots of great 'Americana' style restaurants as well. PLUS great Mexican and Italian food--> How is the Dim Sum/Ramen/Korean Food scene? I've lived in Bay and LA but is it passable here for residency in terms of asian food? <<i am curious about this last question too???? < SD has good dim sum and ramen, its not LA or Bay area but convoy street has some solid places compared to most other places in the country	Slowly improving- trolley from downtown to La jolla opened recently (takes about 40 minutes)	Summer or slightly colder summer	Big military population; people tend to be on the flaky side	Pretty good, everyone's very chill. Pretty good size community, doesn't feel too much like a fishbowl.	Outside of LJ/North County very diverse patient population with barriers to care particularly at Hillcrest--prevalent meth use and homelessness, SD large refugee resettlement area, patients who are incarcerated, proximity to US-MX border means many patients coming from boder patrol custody/detainment centers	
CALIFORNIA	San Francisco	- You're so close to nature! You have the Golden Gate Park which I recently learned is bigger than NYC's Central Park!  - You're surrounded by ocean :)   - Decent food. A lot of great Asian food in the sunset, great food in the Mission. Decent food truck scene. << Decent? its hands down comparable to LA/NYC. The density isnt as high ofc bc its only 7x7 miles - SF native so sorry im defensive/bias hehe  - Very liberal	Rent :( (most of my med student classmates pay $1200 - $1600 a month not including utilities, for what most people will consider a small room -- and you'll likely be sharing with 2-3 people at that price!)  Very liberal << republicans and conservatives can stay mad. FYI from current med student the shuttle system often won't get you to where you need in time for pre-rounding. Must pay for parking at all three sites. Abudance of car part theft in broad daylight.	Not great but exists and I've used it to get from site to site. There's the MUNI bus system within the city, and then BART and Caltrain to get to East Bay, South Bay. MUNI is very lax on paying. You can probably get by without a car (I went through med school without one) but had close friends who took me to grocery shopping and everything. You will probably need a car if you need to go outside the city frequently (e.g., to Oakland, or if you'll be at Palo Alto for Stanford). UCSF has a free shuttle system between sites. << I think SF/Bay Area has the second-best public transport system across the country (second to NYC). Bay Area native here.	Foggy -- is pretty cold (sorry I think in celsius -- like high 10 Cs) most of the time on the West part of the city, and somewhat sunnier on the east side. Very little rain. Rarely gets below 5 degrees celsius, or above 35 C	- Lots of people using dating apps :) Pretty good dating scene especially for women. Lots of young, ambitious, intellectual types <<cringe tech bros though	As good as it gets :)	unparalleled <- would disagree-- it is very homogenous mostly made up of men in tech who graduated from the same top 3 universities +1 to the latter    I disagree with the 2nd comment with regards to what you will experience in clinical settings. As a UCSF med student who has rotated at UCSF Health, SFVA, SFGH, and Kaiser I have yet to have a patient who was a man in tech. Majority of my patients have been blue collared workers or people who are unemployed and experiencing homelessness. Overall socioeconomically and medically diverse (althought not as diverse as the East Bay). Aside from the VA, I use a translator for about 1/3-1/2 of my patient encounters.	
CALIFORNIA	Santa Barbara								
CALIFORNIA	Ventura	Beaches and mountains around	No good boba place > Agreed > sadness :(						
COLORADO	Denver	Great weather, super close to mountains and very heavy outdoor and craft beer scene	Expensive, food scene not great but improving, not very diverse, bad traffic, Too many white people < wtf is this statement, and Karens. Lots of Karens. << lol who are Karens?? Friend who used to work here said a lot of the patients/nurses can be pretty racist, he was pretty unhappy working here < Current med student, I personally have not run into nurses being racist. The medical centers in Denver serve a large rural, white population and I have had some personal experiences where these patients have made inappropriate racial comments. However I would not use "racist" as a description of the people here...---making racial comments is not racist??? << some white people think that unless you're literally going out and lynching people you can't be racist	Meh, you can get some places with RTD but it could be better. Definitely need a car to get to the mountains	Sunny w/ random snow and occasional tornado threats and wildfire smoke	Good, there has been a lot of population growth with young people	Great	Mostly white, however there is a large hispanic population and refugee population, especially where the Anschutz campus is located in Aurora	
CONNECTICUT	Hartford	West Hartford is pretty hip, small but there's a decent amount of young profesionals in that area; MS4 not from the area who attended for medical school - cheaper than living in Boston or NYC if you want to stay in New England, you will probably want to live in West Hartford which is a short commute to the Hartford hospitals and I would compare it to a trendy suburb (e.g. Bethesda); for being CT there are a lot of random good restaurants, some you have to drive to. West Hartford has all the trendy and overpriced restaurants with a high turnover the last few years, but if you do a decent amount of searching there are some great restaurants in other nearby towns. Fall is beautiful, coming from a place where seasons were not as distinct. Lots of great small hiking spots, and if you don't want to live in a big city, it's nice to have the proximity of Boston and NYC for weekend trips.	COL is getting expensive for the amenities that the state/area has to offer; public transportation is lacking and you need a car to get around anywhere or do anything; food is better than I expected having lived here, but still lacks quite a bit and hole-in-the-wall amazing spots are scattered everywhere across the state; drivers here are terrible contrary to what the drivers themselves think, winters are cold with the pro being that it's well managed and cleared pretty quickly with the appropriate city infrastructure, lot of white people, pretty large socioeconomic gap and it can be very apparent	you need a car	typical New England weather; 4 seasons, cold in the winter with regular snow but for the most part the city/state has the infrastructure to clear it quickly, summers are hot and humid (maybe not as humid as the south), fall is beautiful along with the short spring	uconn is not the ideal place for dating, pretty small and non-diverse population, the only other major industry there is engineering as far as i know<< Difficult for POC    A lot of white people on the dating apps. You'll be surrounded by mostly progressives at work but there is a decent population of conservatives, beware. A lot of "vineyard vines" types of bros who grew up in CT/New England and say they're progressive/liberal but really aren't.		noo goodluck	
CONNECTICUT	New Haven	Excellent food - best pizza in the country (< LOL. NOT TRUE) , great bars, lots of options. Compact, so very bikeable/walkable (< Thank God!). Quick drive or train to NYC or Boston. Hospital is 10 mins down the street (walking) from the Yale Undergrad campus, which has several really nice green spaces/courtyards that people frequent. Neighborhoods are distinct for what you want (downtown has high rises, restaurants, lively night life pre-COVID vs. East Rock is suburban, people have houses, walkable neighborhoods). You get walking distance access to all the other schools within the university. Ubers are plentiful. Food scene is surprisingly good (Indian, Thai, Korean, American, Italian, French, Cuban, Ethiopian, so many other cuisines) << +1 on the food! New Tibetan place just opened and it's spectacular. Also lots of Halal and Kosher restaurant options. <<+2 on food	Weirdly expensive for a small town due to rich yalies / proximity to NYC. you will probably be paying a lot for a dumpy apartment (< what's the cost like for more renovated/modern apartments. Is it like NYC prices?). lots of town/gown issues with very underresourced communities adjacent to sparkling yale-sponsored "downtown" areas <<1600-2200 or so downtown renovated 1br < to be fair, even in the cities with great COL will cost you close to $1500 for 1 bedroom modern/renovated apt in downtown (e.g. cleveland, pittsburgh). < Here for medical school; rent at high end places is expensive (1BR = 1500 for larger apartments with fewer ammenities, 1700-2400 for nicer buildings with all the ammenities). +1, spouse and i pay $2100 for our 2-bed 1-bath place downtown	Not really << Everyone with a Yale ID can use the Yale bus systems. Some routes run 7d a week, and during the week, they start pretty early (I think aby 6:30am). There is an app with the routes. The bus lines go out to East Rock. If you live in an adjacent town, def need a car. << Gonna disagree here. there is a robust public bus system, but for whatever reason *cough elitism cough* Yalies avoid it. goes out to a bunch of the suburbs, like Orange & Hamden. Also New Haven is on the Metro North train line connecting to a bunch of other CT towns/cities as well as to NYC	Four seasons	Per friends - it's not the easiest. There are definitely residents looking for love, just maybe not as many as you would have at a way bigger city/campus. << Lived here for a while: your entire dating scene will be Yale. The grad/professional schools are pretty big, so there are a lot of grad students to date, and of course other residents at the hospital, but most of these people are just passing through New Haven for a short amount of time which creates a weird dynamic...	(i posted this in the IV impressions page as well) For the applicants wondering about being queer/trans in New Haven, I (lived here for medical school for the last 3.5 years) think it's actually pretty great! At least it was pre-Covid. There are a couple gay bars with weekly drag shows and Yale is v queer. My interviewer at Yale actually said the reputation when he was at medical school there was "1 in 4, maybe more" and that goes for all the graduate programs, not just medicine. I've found a pretty great community here, always feel safe, and see other queer people walking around all the time. Obviously not NYC, but it's very reasonable to get down for Pride or a weekend of bar hopping.	Yes. New Haven is lauded as the city that has diversity most reflective of the whole United States. You see plenty of diversity in patients.	
CONNECTICUT	Waterbury	anyone? << More affordable than other CT cities. For example 1,100K for a 2BR with an open parking lot. Will pay more for more amenities, but pretty reasonable! There are nearby trails and state parks (10-15min). Highly connected highway wise to travel north, south, west, east in CT, but the commute is going to be in the 30min + range to other cities. Naugatack, closer than some of the other bigger cities, has a few more restaurants/activities.	Kind of depressing small city. Not a great restaurant scene tbh. You'll likely be travelling elsewhere (i.e New Haven which is a 30-40 min trip/other citities). Might be able to find some hole-in-wall places, but I've been here a couple years and I'm generally underwhelmed. Not really a con persay, but def seems to have a good sized elderly population - so just something to consider if you're looking for a "younger"..."hip"... city	You will need a car. I do see a bus sometimes, but honestly get a car.	4 szns	I haven't tried dating here - but, would probably have greater luck in New Haven vs Waterbury. Friends in New Haven also ended dating folk more in NYC, and a little in New Haven....soooooossssssssss.		I'd say fairly diverse patient wise - reflecting on St. Mary Hospital & Waterbury Hospital.	
DISTRICT OF COLUMBIA	Washington	lots of young professionals, beautiful and clean, free museums, great food scene, lots of fun bars and always something to do, close to other major cities on east coast, liberal, fun. Easy and quick to get out of the city for hiking/more nature. Lots of great wineries surrounding the city in MD and VA.	housing is very expensive ... expect ~2k for a 1BR in most desirable neighborhoods, probably better than boston or nyc but worse than philly/baltimore< is renting a decent house out of the question? (out of the question, it costs $1200 to rent a bedroom in a Georgetown house. Most residents live in nearby Virginia or Maryland where apartments run $2200 for a one bedroom) . No one's mentioned traffic? (awful traffic, but to be expected in a busy city) lmao	georgetown area is not super accessible, but most major neighborhoods are connected by major metro stops/bus systems; people in DC always complain about WMATA being dysfunctional/delayed/broken, but when you compare it to most other places in the US ... it's pretty good. (ismetroonfire.com cracks me up all the time. Gotta love WMATA) buses are underrated and great, there are so many of them and they make up for parts of the city where the metro doesnt go	super hot and humid in the summer, but winters are pretty mild	PLENTIFUL lots of young single people in DC. -Check out "overhearddistrict" on Instagram to get an idea of the kinds of people who live in D.C.	Plenty of representation, fantastic LGBTQ crew and dating scene. Multiple bars/clubs catering to the LGBTQ crowd.	Very much so! It's home to all of the embassies so very, very diverse.	
FLORIDA	Fort Lauderdale	Beach, Diversity, cheap major airport in city		Must have a car. There's public transportation available but not great.	Top notch	A-	Very friendly towards LGBTQ people. Wilton Manors is close to downtown Ft. Lauderdale and it's a famous gay city.	It's very diverse.	
FLORIDA	Gainesville	Lots of food options x2<<Eh very much disagree, mostly college scene food typa stuff as this place is the definition of a college town. <--The food is good--Depends what you are into, if you like nature walks, beautiful springs, proximity to beaches and big cities, and a "small town feel" but not rural per se, then you would like it. But def not a Miami, Tampa type vibes---Nature is great around Gainesville	Mostly a college town. Closest major airport would be Jacksonville or Orlando.<< Outside of Gainesville it can get rural pretty quick but your never too far from a large city.	Since it's a college town, there is very good public transit. The RTS (local bus system) is very organized	Mild winters, VERY humid and hot in the summer. Best time of the year are the winters, beatuiful weather, doesnt rain much, can still go to outdoorsy things	Mostly college town so pretty poor <- disagreed, plenty of people in the dating scene since college town<--also disagree given its a large public university theres plenty of people	Supportive	I would say overall lacking.	
FLORIDA	Jacksonville	It's the biggest continental city in the US so you'll have all types of scenarios. South of Beach Blvd is the part with better apartments and things to do (especially near St Johns Town Center), it's a beautiful city with everything you need. Everything is 10-15 minutes away (including the beach) because you can drive through Butler blvd, Beach Blvd, etc. The city where majority of doctors (attendings or residents with families) live is actually Ponte Vedra, a city with mansions and some of the best schools in the country.	GF and I just visited and it was reallllly rundown and ghetto. Like tons of homelessness in the city and even around the hospital. Felt unsafe walking in a lot of areas. < Probably you didn't visit the nice spots < went to avondale, san marco, and riverside lol // Riverside and avondale are nice! Old, but nice. Just stay east of 17 and south of !-10, the further north or west you go, the worse it gets. Five points area is cool too	Useless	Excellent. It's warm, but not as much as Orlando or Miami. Even have some quite cold days during winter.				
FLORIDA	Lakeland	Very surprised about this town. Fastest growing county in ALL of Florida. 30 min drive to both Tampa and Orlando. Low cost of living. Has a little bit of everything, cute city.	It's becoming more popular and lots of development going on.	No	Excellent. Hurricanes never make it strong to Central Florida.	Plenty of college and universities around, night life is also quite active in Downtown Lakeland.	Supportive.	It's Florida, has it all.	One of the safest cities in the Nation.
FLORIDA	Miami	South Beach, Diversity; unrivalled sex clubs+1; weather is amazing, always 10-20 minutes from beach; great art scene w/ wynwood and art basel; FL has no income tax; large melting pot w/ people from all over: largest being latin america and caribbean, but also russia/europe, all over the states (especially ny transplants); international airport that is 15-20 minutes away and accessible by public transit that can literally fly you anywhere in the world	Food scene is lacking other than top notch Caribbean/South&Central American; hurricane season though they can actually be fun assuming they arent over a 3. Hurricane partys were really fun pre-covid; doesn't respond well to a pandemic; high cost of living; there is a large crowd of people w/ a certain level of plasticity; traffic can be bad < The only Cons that I see after living here for 1 year is the cost, its a super expensive city! << will say essentially NEED to speak spanish around here to the point where bars/clubs play more non-english songs. need to speak spanish to be able to care for a majority of your patients	Lmao yeah right. Metrorail goes through UM/Jackson campus and downtown/Brickell. But that's it	Gorgeous	Great, a lot of beautiful people. Latinx men & women main population. Black men/women also make up the 2nd largest demographic for Miami. The non-Hispanic caucasians are more-so in the suburbs or Broward. Its summer 10 months out of the year so a lot of people make a serious effort to look good and dress well. Be warned: dating in Miami can be kinda $$$, depending on your tastes. Befriend a homegrown local who can show you the cheaper, but still amazing, spots. Note: Miami-Hispanics are often very conservative and the majority love Trump. So if you're into that, then you'll love it here. <majority love trump and biden won miami dade county. <-- LOL so true about how miami hispanics are incrediby conservative in their values (i can say this since i am one, tho not politically) , love to shoot guns and hunt, ride ATVs, protest abortion etc hahaha, why even for dating you have to bring up politics... . Its just ridiculous. << are you dumb? do you understand how statistics work? one group can have a majority choice for one party but the entire population can vote the other way. also, if i'm dating someone who potentially might raise children with me then I'm obviously going to make sure that we have similar values we will teach our children	Very supportive in the Miami-Beach area, overall i think city is fine with it but some Hispanic populations will be more "i don't care but don't shove it in my face"	Extremely Diverse, one of the most diverse cities in the country. Hispanics from Central and South America as well as well-represented by the Caribbean islands, most notably, of course, Cuba	
FLORIDA	Orlando	Every tourist attraction you can imagine and some you can't. Very large with lots to do. COL is okay given salary. Major airprots and can get all around florida as all roads lead to Orlando. >> 1-2hr drive to the beach (clearwater on the west, cocoa beach to the east to name a few) if you avoid high traffic hours, amazing hispanic food	Need a car for sure, public transit is god awful. Lots of toll roads. Insane aggressive drivers locally and tons of tourists who have no idea what they are doing/where they are going. Construction is always going on. Rent has gotten expensive over the past 4 years ($1200 -> $1900 for the same apartment)	HA	Sunshine state baby >> humid AF (understandably)	Bad			
FLORIDA	Pensacola	Reasonable cost of living, lively downtown scene on the weekends, the beaches are beautiful, arguably the most beautiful in Florida!	Not much to do other than the beach. Mostly a very far right leaning community politically (i.e. this is the county that continues to vote for Matt Gaetz)	Poor	Hot and humid during the summer, fall and spring are nice in the 50-70's, mostly mild winters but we get snow and ice occasionally	Not great. A LOT of military members if that's your thing (Navy base in town)			
FLORIDA	Tampa	Close To Beaches, lots to do, tons of food options and brews/bars/pubs. Ever changing always growing. Close to St. Pete which is a gem of a city	Commute is terrible. *not really, just depends on if there are events* As a tampa native traffic is bad but not when compared to Miami, Orlando, etc. As the city grows the need for new roads becomes more apparent. The COL is increasing and housing exploded but the program salary has increased a bit but its still pretty expensive to live in tampa proper. *even with the salary increase most residents I know are living with roommates to ease COL, if you're willing to extend your commute or live somewhere not very nice you can afford to live alone.	Not that good * as a native its god awful EXCEPT the downtown trolley, that shit is FREE and fire, gets you from the convention center to Ybor city passing Amelie Arena (lightning games), the aquariam and sparkman's wharf (nice outdoor fooderies and biergarten)	Always Spring, Summer, god awful heat	Great Dating scene for 21-30 *Lol absolutely not true, there's plenty of young adults around but everyone I know on the dating scene here has not been very successful and hates it. Lots of conservative folks in the area if that's important to you one way or the other.	Great amount of LGBTQ+, St. Pete across the bay has the largest pride parade outside of SF.	Hispanic, asian, eastern european, black, middle eastern, we have all kinds of folk. Vast majority are white	
GEORGIA	Athens								
