name,code
Family Medicine/Kingman,2156120C1
Family Medicine/Mesa,2156120C2
Internal Medicine/Cottonwood,2156140C0
Internal Medicine/Mesa,2156140C1
Internal Medicine/Sierra Vista,2156140C2
General Surgery/Mesa,2156440C0
Family Medicine,2243120C0
Child Neurology,2952185C0
Child Neurology,2952185R0
Pediatrics,2952320C0
Internal Medicine,1014140C0
Pediatrics,1014320C0
Transitional,1014999P0
Family Medicine,1011120C0
Internal Medicine,1011140C0
Medicine-Primary,1011140M0
Medicine-Preliminary,1011140P0
Neurology,1011180C0
Obstetrics-Gynecology,1011220C0
Orthopaedic Surgery,1011260C0
Psychiatry,1011400C0
Interventional Radiology (Integ),1011416A0
General Surgery,1011440C0
General Surgery/Rural,1011440C1
Surgery-Preliminary,1011440P1
Medicine-Pediatrics,1011700C0
Emergency Medicine,1371110C0
Family Medicine,1371120C0
Anesthesiology,1015040A0
Anesthesiology,1015040C0
Anesthesiology,1015040R0
Dermatology,1015080A2
Emergency Medicine,1015110C0
Family Medicine,1015120C0
Internal Medicine,1015140C0
Medicine-Preliminary,1015140P0
Neurological Surgery,1015160C0
Neurology,1015180C0
Obstetrics-Gynecology,1015220C0
Orthopaedic Surgery,1015260C0
Otolaryngology,1015280C0
Pathology,1015300C0
Pediatrics,1015320C0
Psychiatry,1015400C0
Interventional Radiology (Integ),1015416A0
Radiology-Diagnostic,1015420A0
Radiation Oncology,1015430A0
General Surgery,1015440C0
Surgery-Preliminary,1015440P0
Vascular Surgery,1015451C0
Pediatrics-Emergency Med,1015725C0
Family Medicine,1488120C1
Family Medicine/Mercy-Ft Smith,2295120C0
Internal Medicine/Mercy-Ft Smith,2295140C1
Family Medicine,2198120C0
Internal Medicine,2198140C0
Psychiatry,2198400C0
Transitional,2198999P0
Internal Medicine,2269140C0
Internal Medicine,2277140C0
Family Medicine,2250120C0
Family Medicine/Rural,2250120C1
Internal Medicine,2250140C0
Internal Medicine,2214140C0
Anesthesiology,1018040C0
Anesthesiology,1018040R0
Dermatology,1018080C0
Emergency Medicine,1018110C0
Family Medicine,1018120C0
Internal Medicine,1018140C0
Neurological Surgery,1018160C0
Neurology,1018180C0
Child Neurology,1018185C0
Obstetrics-Gynecology,1018220C0
Orthopaedic Surgery,1018260C0
Otolaryngology,1018280C0
Pathology,1018300C0
Pediatrics,1018320C0
Phys Medicine & Rehab,1018340C0
Psychiatry,1018400C0
Interventional Radiology (Integ),1018416C0
Interventional Radiology (Integ),1018416R0
Radiology-Diagnostic,1018420C0
Rad-Diag/NuRad,1018420C3
Radiation Oncology,1018430A0
General Surgery,1018440C0
Surgery-Preliminary,1018440P0
Vascular Surgery,1018451C0
Medicine-Pediatrics,1018700C0
Internal Medicine,1871140C0
Family Medicine/Fayetteville,1582120C0
Family Medicine/Fort Smith,1582120C1
Family Medicine/Jonesboro,1582120C2
Family Medicine/Pine Bluff,1582120C4
Family Medicine/Texarkana,1582120C5
Family Medicine/Batesville,1582120C6
Family Medicine,1582120C7
Internal Medicine,1582140C0
Emergency Medicine,2104110C0
Family Medicine,2104120C0
Internal Medicine,2104140C0
Psychiatry,2104400C0
Transitional,2104999P0
Internal Medicine,1991140C0
Family Medicine,1023120C0
Family Medicine,2029120C0
Family Medicine/Tulare,2029120C1
Family Medicine/Sonora RTT,2029120C2
Family Medicine,2180120C0
Family Medicine,1040120C0
Internal Medicine,1040140C0
Medicine-Preliminary,1040140P0
Obstetrics-Gynecology,1040220C0
Emergency Medicine,1041110C0
Internal Medicine,1041140C0
Medicine-Primary,1041140M0
Medicine-Preliminary,1041140P0
Family Medicine,2236120C0
Emergency Medicine,1047110C0
Family Medicine,1047120C0
Internal Medicine,1047140C0
Neurology,1047180C0
Obstetrics-Gynecology,1047220C0
Psychiatry,1047400C0
Radiology-Diagnostic,1047420A0
General Surgery,1047440C0
Surgery-Preliminary,1047440P0
Internal Medicine,1061140C0
Medicine-Preliminary,1061140P0
Med-Prelim/Neurology,1061140P1
Med-Prelim/Ophthalmology,1061140P2
Med-Prelim/Anesthesiology,1061140P3
Psychiatry,1061400C0
Family Medicine,2092120C0
Phys Medicine & Rehab,2151340A0
Anesthesiology,1030040C0
Internal Medicine,1030140C0
Internal Medicine/PSTP,1030140C1
Medicine-Primary,1030140M0
Medicine-Preliminary,1030140P0
Med-Prelim/Neurology,1030140P1
Neurological Surgery,1030160C0
Neurology,1030180A0
Neurology/PSTP,1030180A1
Obstetrics-Gynecology,1030220C0
Orthopaedic Surgery,1030260C0
Otolaryngology,1030280C0
Pathology,1030300C0
Radiology-Diagnostic,1030420A0
Radiation Oncology,1030430A0
General Surgery,1030440C0
Thoracic Surgery,1030461C0
Family Medicine,2114120C0
Internal Medicine,2114140C0
Psychiatry,2114400C0
Child Neurology,1031185C0
Pediatrics,1031320C0
Pediatrics,1939320C0
Peds-Prelim/Child Neurology,1939320P0
Radiation Oncology,1183430A0
Family Medicine,1708120C0
Internal Medicine,2133140C0
Family Medicine,2018120C0
Internal Medicine,2018140C0
Orthopaedic Surgery,2018260C0
Psychiatry,2018400C0
General Surgery,2018440C0
Family Medicine,2071120C0
Emergency Medicine,2131110C0
Family Medicine,2131120C0
General Surgery,2131440C0
Family Medicine,1140120C0
Family Medicine/Sierra Nevada,1140120C1
Family Medicine,3036120C1
Emergency Medicine,1485110C0
Family Medicine,1485120C0
Internal Medicine,1485140C0
Family Medicine,1974120C0
Family Medicine,1682120C0
Anesthesiology,1067040C0
Dermatology,1067080A0
Emergency Medicine,1067110C0
Family Medicine,1067120C0
Internal Medicine,1067140C0
Medicine-Preliminary,1067140P0
Med-Prelim/Radiology,1067140P1
Neurology,1067180C0
Obstetrics-Gynecology,1067220C0
Orthopaedic Surgery,1067260C0
Pathology,1067300C0
Pediatrics,1067320C0
Psychiatry,1067400C0
Radiology-Diagnostic,1067420A0
General Surgery,1067440C0
Surgery-Preliminary,1067440P0
Surg-Prelim/Radiology,1067440P2
Vascular Surgery,1067451C0
Internal Medicine,1044140C0
Medicine-Preliminary,1044140P0
General Surgery,1044440C0
Family Medicine,1917120C0
Radiology-Diagnostic,2124420C0
Transitional,2124999P0
Emergency Medicine,2272110C0
Family Medicine,2037120C0
Internal Medicine,2037140C0
Medicine-Preliminary,2037140P0
Psychiatry,2037400C0
Dermatology,2055080C0
Family Med/LA Med Ctr,2055120C0
Internal Medicine,2055140C0
Internal Med/Research,2055140C2
Medicine-Preliminary,2055140P0
Neurology,2055180C0
Obstetrics-Gynecology,2055220C0
Pediatrics,2055320C0
Interventional Radiology (Integ),2055416C0
Radiology-Diagnostic,2055420C0
Radiation Oncology,2055430A0
General Surgery,2055440C0
Surgery-Preliminary,2055440P0
Family Medicine,1637120C0
Internal Medicine,1042140C0
Internal Medicine/MPH,1042140C1
Med-Primary/Equity & Disparities,1042140M0
Medicine-Preliminary,1042140P0
Obstetrics-Gynecology,1042220C0
Otolaryngology,1042280C0
Pediatrics,1042320C0
Pediatrics/MPH,1042320C1
Psychiatry/East Bay,1042400C0
Family Medicine,1073120C0
Family Medicine,3620120C0
Internal Medicine,1959140C0
Medicine-Preliminary,1959140P0
Med-Prelim/Stanford-Anesth,1959140P1
Obstetrics-Gynecology,1959220C0
Medicine-Preventive Med,1959751C0
Family Medicine,2273120C0
Fam Med/Accelerated Competency,2273120C1
Emergency Medicine,1454110C0
Family Medicine,1454120C0
Family Medicine,2119120C0
Psychiatry,2119400C0
Internal Medicine,2135140C0
Medicine-Primary/CHOICE,2135140M0
Medicine-Preliminary,2135140P0
Obstetrics-Gynecology,2135220C0
Family Medicine,2115120C0
Family Medicine,1001120C0
Anesthesiology,1572040C0
Emergency Medicine,1572110C0
Family Medicine,1572120C0
Psychiatry,1572400C0
General Surgery,1572440C0
Surgery-Preliminary,1572440P0
Transitional,1572999P0
Family Medicine,2284120C0
Emergency Medicine,1921110C0
Internal Medicine,1921140C0
Obstetrics-Gynecology,1921220C0
Psychiatry,1921400C0
Psychiatry/Child & Adolescent,1921400C1
Family Medicine,2217120C0
Family Medicine,2251120C0
Internal Medicine,2251140C0
Anesthesiology,1024040C0
Dermatology,1024080A0
Emergency Medicine,1024110C0
Family Medicine,1024120C0
Internal Medicine,1024140C0
Medicine-Primary,1024140M0
Med-Primary/Global Health,1024140M1
Medicine-Preliminary,1024140P0
Neurological Surgery,1024160C0
Neurology,1024180C0
Neurology,1024180R0
Child Neurology,1024185C0
Obstetrics-Gynecology,1024220C0
Orthopaedic Surgery,1024260C0
Otolaryngology,1024280C0
Pathology,1024300C0
Pediatrics,1024320C0
Pediatrics-Primary,1024320M0
Phys Medicine & Rehab,1024340A0
Phys Medicine & Rehab,1024340C0
Plastic Surgery (Integrated),1024362C0
Psychiatry,1024400C0
Psychiatry/CAP,1024400C2
Interventional Radiology (Integ),1024416A0
Radiology-Diagnostic,1024420A0
Radiology-Diagnostic/ESIR Pathway,1024420A2
Radiation Oncology,1024430A0
General Surgery,1024440C0
Gen Surg/Dedicated Research,1024440C1
Surgery-Preliminary,1024440P0
Vascular Surgery,1024451C0
Thoracic Surgery-Integrated,1024461C0
Medicine-Pediatrics,1024700C0
Medicine-Anesthesiology,1024742C0
Transitional,1024999P0
Transitional/Preventive Med,1024999P1
Transitional/Occupational Med,1024999P2
Transitional/OMFS,1024999P4
Family Medicine,1027120C0
Anesthesiology,2264040C0
Internal Medicine,2264140C0
Medicine-Preliminary,2264140P0
Neurology,2264180C0
General Surgery,2264440C0
Internal Medicine,2311140C0
Family Medicine,1690120C0
Obstetrics-Gynecology,1690220C0
Family Medicine,3080120C0
Family Medicine/MFHC,3081120C0
Family Medicine,2344120C0
Psychiatry,2344400C0
Family Medicine,2971120C0
Medicine-Primary,2349140M0
Internal Medicine,2950140C0
Medicine-Preliminary,2950140P0
Med-Prelim/Neurology,2950140P2
Med-Prelim/Ophthalmology,2950140P3
Psychiatry,2950400C0
Family Medicine,2215120C0
Family Medicine,1350120C0
Family Medicine,2013120C0
Fam Med/Tropical Med,2013120C1
Fam Med/Chronic Dz Mgmt,2013120C2
Dermatology/Newpot News,2150080R0
Family Medicine/Chino Valley,2150120C0
Internal Medicine/Centinela,2150140C0
Internal Medicine/West Anaheim,2150140C1
Anesthesiology,1877040C0
Emergency Medicine,1877110C0
Family Medicine,1877120C0
Internal Medicine,1877140C0
Medicine-Preliminary,1877140P0
Neurology,1877180C0
Obstetrics-Gynecology,1877220C0
Radiology-Diagnostic,1877420A0
General Surgery,1877440C0
Surgery-Preliminary,1877440P0
Transitional,1877999P0
Anesthesiology,1850040C0
Emergency Medicine,1850110C0
Family Medicine,1850120C0
Internal Medicine,1850140C0
Neurological Surgery,1850160C0
Neurology,1850180C0
Orthopaedic Surgery,1850260C0
Psychiatry,1850400C0
Radiology-Diagnostic,1850420C0
General Surgery,1850440C0
Surgery-Preliminary,1850440P0
Family Medicine,1021120C0
Internal Medicine,1021140C0
General Surgery,1021440C0
Surgery-Preliminary,1021440P1
Psychiatry,1010400C0
Internal Medicine,2220140C0
Internal Medicine,1064140C0
Medicine-Preliminary,1064140P0
Pediatrics,1064320C0
Radiology-Diagnostic,1064420A0
General Surgery,1064440C0
Internal Medicine,1063140C0
Medicine-Preliminary,1063140P0
Med-Prelim/Neurology,1063140P1
Obstetrics-Gynecology,1063220C0
Radiology-Diagnostic,1063420A0
Transitional,1063999P0
Internal Medicine,1340140C0
Family Medicine,1375120C0
Internal Medicine,1048140C0
Transitional,1048999P0
Transitional/Anesthesia,1048999P2
Family Medicine,1531120C0
Internal Medicine,2278140C0
Medicine-Preliminary,2278140P0
Emergency Medicine,2138110C0
Family Medicine,2138120C0
Internal Medicine,2138140C0
Transitional,2138999P0
Family Medicine,2160120C0
Anesthesiology,2161040C0
Emergency Medicine,2161110C0
Family Medicine,2161120C0
Internal Medicine,2161140C0
Neurology,2161180C0
Psychiatry,2161400C0
Transitional,2161999P0
Internal Medicine,1025140C0
Medicine-Primary,1025140M0
Medicine-Preliminary,1025140P0
Internal Medicine,1057140C0
Medicine-Preliminary,1057140P0
Orthopaedic Surgery,1057260C0
Anesthesiology,1820040A0
Anesthesiology,1820040C0
Anesthesiology,1820040R0
Dermatology,1820080A0
Dermatology,1820080R0
Emergency Medicine,1820110C0
Family Medicine/OConnor,1820120C0
Internal Medicine,1820140C0
Internal Med/Global Health,1820140C1
Neurological Surgery,1820160C0
Neurology,1820180A0
Neurology,1820180C0
Child Neurology,1820185C0
Obstetrics-Gynecology,1820220C0
Orthopaedic Surgery,1820260C0
Otolaryngology,1820280C0
Otolaryngology/Research,1820280C1
Pathology,1820300C0
Clinical Pathology Track,1820300C1
Path-Anatomic Neuro Track,1820300C2
Pediatrics,1820320C0
Pediatrics/Research Trk,1820320C1
Phys Medicine & Rehab,1820340A0
Plastic Surgery (Integrated),1820362C0
Psychiatry,1820400C0
Psychiatry/Research,1820400C1
Psychiatry/Public,1820400C2
Interventional Radiology (Integ),1820416C0
Radiology-Diagnostic,1820420A0
Radiation Oncology,1820430A0
General Surgery,1820440C0
General Surgery/SASS,1820440C1
Surgery-Preliminary,1820440P0
Surgery Prelim/Anesthesia,1820440P3
Surg-Prelim/Opthalmology,1820440P4
Vascular Surgery,1820451C0
Thoracic Surgery,1820461C0
Pediatrics-Anesthesiology,1820726C0
Medicine-Anesthesiology,1820742C0
Pediatrics-Medical Genetics,1820765C0
Radiology-Nuclear Medicine,1820770A0
Trans/Anesthesiology Santa Clara,1820999P0
Emergency Medicine/SRMC,1135110C0
Family Med/Sacramento,1135120C0
Family Medicine/Davis,1135120C1
Family Medicine/Amador,1135120C2
Internal Medicine,1135140C0
General Surgery,1135440C0
Surgery-Preliminary,1135440P0
Family Medicine,1065120C0
Anesthesiology,1033040C0
Dermatology,1033080A0
Emergency Medicine,1033110C0
Internal Medicine,1033140C0
Neurological Surgery,1033160C0
Neurology,1033180C0
Obstetrics-Gynecology,1033220C0
Orthopaedic Surgery,1033260C0
Otolaryngology,1033280C0
Otolaryngology/Research,1033280C1
Pathology,1033300C0
Pediatrics,1033320C0
Plastic Surgery (Integrated),1033362C0
Psychiatry,1033400C0
Interventional Radiology (Integ),1033416A0
Radiology-Diagnostic,1033420A0
Radiation Oncology,1033430A0
General Surgery,1033440C0
Surg-Prelim/OMS,1033440P3
Vascular Surgery,1033451C0
Thoracic Surgery,1033461C0
Medicine-Pediatrics,1033700C0
Anesthesiology,1046040C0
Dermatology,1046080A0
Emergency Medicine,1046110C0
Family Medicine,1046120C0
Family Med/ACE Primary Care,1046120C4
Internal Medicine,1046140C0
Medicine-Primary,1046140M0
Med-Primary/Innovations,1046140M1
Neurological Surgery,1046160C0
Neurology,1046180C0
Child Neurology,1046185C0
Child Neurology,1046185R0
Obstetrics-Gynecology,1046220C0
Orthopaedic Surgery,1046260C0
Ortho Surgery/6 Yr Prog,1046260C1
Otolaryngology,1046280C0
Pathology,1046300C0
Pediatrics,1046320C0
Phys Medicine & Rehab,1046340A0
Phys Medicine & Rehab,1046340C0
Plastic Surgery (Integrated),1046362C0
Psychiatry,1046400C0
Interventional Radiology (Integ),1046416A0
Radiology-Diagnostic,1046420A0
Radiation Oncology,1046430A0
General Surgery,1046440C0
Surgery-Preliminary,1046440P0
Vascular Surgery,1046451C0
Thoracic Surgery,1046461C0
Medicine-Psychiatry,1046715C1
Psychiatry-Family Med,1046720C0
Anesthesiology,1043040C0
Anesthesiology/Critical Care Med,1043040C1
Dermatology,1043080A0
Emergency Medicine,1043110C0
Family Medicine,1043120C0
Internal Medicine,1043140C0
Medicine-Preliminary,1043140P0
Med-Prelim/Neurology,1043140P1
Med-Prelim/Ophthalmology,1043140P3
Neurological Surgery,1043160C0
Neurology,1043180A0
Child Neurology,1043185C0
Obstetrics-Gynecology,1043220C0
Orthopaedic Surgery,1043260C0
Otolaryngology,1043280C0
Pathology,1043300C0
Pediatrics/UCI-CHOC,1043320C1
Phys Medicine & Rehab,1043340A0
Plastic Surgery (Integrated),1043362C0
Psychiatry,1043400C0
Interventional Radiology (Integ),1043416A0
Radiology-Diagnostic,1043420A0
Radiation Oncology,1043430A0
General Surgery,1043440C0
Surg-Prelim/Non-Designated,1043440P0
Surg-Prelim/Int Radiology,1043440P3
Internal Med/St. Bernardine,1522140C1
Psychiatry,1522400C0
Anesthesiology,1049040A0
Dermatology,1049080A0
Dermatology/Research,1049080A1
Emergency Medicine,1049110C0
Family Medicine,1049120C0
Internal Medicine,1049140C0
Int Med/Investigator Path,1049140C1
Medicine-Primary,1049140M0
Neurological Surgery,1049160C0
Neurology,1049180C2
Child Neurology,1049185C0
Obstetrics-Gynecology,1049220C0
Orthopaedic Surgery,1049260C0
Ortho Surgery/Research,1049260C1
Otolaryngology,1049280C0
Pathology,1049300C0
Pathology/Military,1049300C1
Pediatrics,1049320C0
Pediatrics-Research,1049320C1
Plastic Surgery (Integrated),1049362C0
Psychiatry,1049400C0
Psychiatry/Research,1049400C1
Psychiatry/Community,1049400C2
Interventional Radiology (Integ),1049416A0
Radiology-Diagnostic,1049420A0
Rad-Diag/Research,1049420A1
Radiation Oncology,1049430A0
Radiation Oncology/Military,1049430R1
General Surgery,1049440C0
Vascular Surgery,1049451C0
Medicine-Pediatrics,1049700C0
Anesthesiology,1062040A0
Anesthesiology,1062040C0
Anesthesiology/Research,1062040C1
Anesthesiology/Critical Care,1062040C2
Anesthesiology,1062040R0
Dermatology,1062080A0
Dermatology/2+2 Scientists,1062080A1
Emergency Medicine,1062110C0
Family Medicine,1062120C0
Internal Medicine,1062140C0
Medicine-Primary/UC,1062140M0
Medicine-Primary/SFGH,1062140M1
Neurological Surgery,1062160C0
Neurology,1062180A0
Neurology,1062180C0
Child Neurology/Adv PGY3,1062185A0
Child Neurology,1062185C0
Obstetrics-Gynecology,1062220C0
Orthopaedic Surgery,1062260C0
Ortho Surgery/Research,1062260C1
Otolaryngology,1062280C0
Pathology,1062300C0
Pathology/Military,1062300C4
Pediatrics,1062320C0
Pediatrics/Molecular Medicine,1062320C2
Pediatrics/PLUS,1062320C3
Plastic Surgery (Integrated),1062362C0
Plastic Surgery (Integ)/Research,1062362C1
Psychiatry,1062400C0
Psychiatry/Research,1062400C2
Interventional Radiology (Integ),1062416A0
Radiology-Diagnostic,1062420A0
Radiation Oncology,1062430A0
General Surgery,1062440C0
Surg-Prelim/General/Specialty,1062440P0
Surg-Prelim/Int Radiology,1062440P2
Vascular Surgery,1062451C0
General Surgery,3625440C0
Surgery-Preliminary,3625440P0
Emergency Medicine,1022110C0
Family Medicine,1022120C0
Internal Medicine,1022140C0
Obstetrics-Gynecology,1022220C0
Orthopaedic Surgery,1022260C0
Pediatrics,1022320C0
Psychiatry,1022400C0
General Surgery,1022440C0
Anesthesiology,1956040C0
Dermatology,1956080A0
Dermatology/5yr Star,1956080A1
Emergency Medicine,1956110C0
Fam Med/UCLA/Santa Monica,1956120C1
Internal Medicine,1956140C0
Internal Med/ProSTAR/PSTP,1956140C1
Medicine-Primary/UCLA-VA,1956140M0
Med-Primary/UCLA-Olive View,1956140M1
Neurological Surgery,1956160C0
Neurology,1956180A0
Neurology,1956180C0
Child Neurology,1956185C0
Nuclear Medicine,1956200A0
Obstetrics-Gynecology,1956220C0
Ob-Gyn/Preliminary,1956220P0
Orthopaedic Surgery,1956260C0
Otolaryngology,1956280C0
Otolaryngology/Research,1956280C1
Pathology,1956300C0
Pathology/Research,1956300C1
Pediatrics,1956320C0
Pediatrics/PSTP,1956320C1
Plastic Surgery (Integrated),1956362C0
Interventional Radiology (Integ),1956416C0
Radiology-Diagnostic,1956420A0
Radiation Oncology,1956430A0
General Surgery,1956440C0
Surgery-Preliminary,1956440P0
Vascular Surgery,1956451C0
Medicine-Pediatrics,1956700C0
Psychiatry,3030400C0
Psychiatry/Research,3030400C1
Psych/Harbor-NPI-WLAVA,3030400C2
Emergency Medicine,2213110C0
Family Medicine,2213120C0
Internal Medicine,2213140C0
Obstetrics and Gynecology,2213220C0
General Surgery,2213440C0
Surgery-Preliminary,2213440P0
Transitional,2213999P0
Phys Medicine & Rehab/UCLA,1039340A0
Psychiatry/UCLA/SFVP,1039400C0
Pediatrics,1907320C0
Family Medicine,1444120C0
Orthopaedic Surgery,1444260C0
Family Medicine,2111120C0
Family Medicine,1068120C0
Family Medicine/Alamosa,2350120C0
Family Medicine/St Mary-Corwin,2350120C1
Family Medicine/Health Campus,2350120C2
Family Medicine/84th Street,2350120C3
Pathology/Penrose,2350300C0
Emergency Medicine,1077110C0
Anesthesiology,1997040C0
Family Medicine/Aurora,1997120C0
Family Med/Swedish Med Ctr,1997120C1
Internal Medicine/Sky Ridge,1997140C0
Neurology/Swedish Med Ctr,1997180C0
Psychiatry/Aurora,1997400C0
General Surgery/Swedish Med Ctr,1997440C0
General Surgery/Sky Ridge,1997440C1
Transitional/Sky Ridge,1997999P0
Family Medicine,1853120C0
Family Med/Wray,1853120C1
Family Med/Sunrise,1853120C2
Family Med/Hospitalist,1853120C3
Family Medicine/Sterling RTT,1853120C4
Internal Medicine,2050140C0
Family Medicine,3063120C0
Family Medicine,1074120C0
Internal Medicine,1074140C0
Medicine-Preliminary,1074140P0
Obstetrics-Gynecology,1074220C0
General Surgery,1074440C0
Surgery-Preliminary,1074440P0
Family Medicine,3069120C0
Anesthesiology,1076040A0
Anesthesiology/Critical Care,1076040A1
Anesthesiology,1076040C0
Anesthesiology/Critical Care,1076040C1
Anesthesiology,1076040R0
Dermatology,1076080A0
Family Med/Denver Hlth,1076120C0
Family Med/Univ Hosp,1076120C3
Family Med/Rural,1076120C4
Internal Medicine,1076140C0
Internal Med/Hospitalist,1076140C1
Int Med/Physician Scientist,1076140C2
Medicine-Primary,1076140M0
Medicine-Preliminary,1076140P0
Neurological Surgery,1076160C0
Neurology,1076180C0
Child Neurology,1076185C0
Obstetrics-Gynecology,1076220C0
Ob-Gyn/Preliminary,1076220P0
Orthopaedic Surgery,1076260C0
Ortho Surgery/Research,1076260C1
Otolaryngology,1076280C0
Pathology,1076300C0
Pediatrics,1076320C0
Phys Medicine & Rehab,1076340A0
Phys Medicine & Rehab,1076340R0
Plastic Surgery (Integrated),1076362C0
Psychiatry,1076400C0
Psychiatry/Research,1076400C2
Psychiatry/CAP,1076400C3
Psychiatry/Comm Public,1076400C4
Interventional Radiology (Integ),1076416A0
Radiology-Diagnostic,1076420A0
Radiation Oncology,1076430A0
General Surgery/2 Yr Research,1076440C0
Surgery-Preliminary,1076440P0
Medicine-Pediatrics,1076700C0
Pediatrics-PM&R,1076735C0
Pediatrics-Medical Genetics,1076765C0
Internal Medicine,1079140C0
Medicine-Preliminary,1079140P0
Med-Prelim/Radiology,1079140P1
Obstetrics-Gynecology,1079220C0
Radiology-Diagnostic,1079420A0
Internal Medicine,1081140C0
Obstetrics-Gynecology,1081220C0
Pathology,1081300C0
General Surgery,1081440C0
Surgery-Preliminary,1081440P0
Family Medicine,2186120C0
Transitional,2186999P0
Internal Medicine,1082140C0
Medicine-Preliminary,1082140P0
Internal Medicine,1977140C0
Medicine-Primary,1977140M0
Medicine-Preliminary,1977140P0
Medicine-Preventive Med/General,1977751C0
Pathology,1083300C0
Psychiatry,1083400C0
Radiology-Diagnostic,1083420A0
Family Medicine,1087120C0
Internal Medicine,1093140C0
Radiology-Diagnostic,1093420A0
Obstetrics-Gynecology,1085220C0
Internal Medicine,1096140C0
Medicine-Preliminary,1096140P0
General Surgery,1096440C0
Surgery-Preliminary,1096440P0
Internal Medicine,1080140C0
Medicine-Preliminary,1080140P0
Med-Prelim/Radiology,1080140P1
Radiology-Diagnostic,1080420A0
Family Medicine,1095120C0
Internal Medicine,1095140C0
Obstetrics-Gynecology,1095220C0
General Surgery,1095440C0
Surgery-Preliminary,1095440P0
Anesthesiology,1094040A0
Anesthesiology,1094040C0
Anesthesiology,1094040R0
Dermatology,1094080A0
Emergency Medicine,1094110C0
Family Medicine,1094120C0
Internal Medicine,1094140C0
